incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Trailhead Fire,2016-06-28T13:55:00Z,"El Dorado, Placer",,6/28/2016
Rancho Fire,2016-06-28T19:02:00Z,Amador,,6/28/2016
Colyear Fire,2016-06-30T13:32:00Z,Tehama,,6/30/2016
Pine Fire,2016-06-30T16:55:00Z,Ventura,,6/30/2016
Deer Fire,2016-07-01T14:05:00Z,Kern,,7/1/2016
Flores Fire,2016-07-01T13:54:00Z,Tehama,,7/1/2016
Curry Fire,2016-07-01T17:16:00Z,Fresno,,7/1/2016
Lone Pine Fire,2016-07-01T12:56:00Z,Inyo,,7/1/2016
Kuehner Fire,2016-07-01T14:00:00Z,Ventura,,7/1/2016
Appaloosa Fire,2016-07-02T14:55:00Z,Calaveras,,7/2/2016
Frame Fire,2016-07-04T17:15:00Z,Fresno,,7/4/2016
Broken Fire,2016-07-04T11:53:00Z,Madera,,7/4/2016
Fort Fire,2016-07-08T11:15:00Z,Kern,,7/8/2016
Fiddler Fire,2016-07-08T22:45:00Z,Shasta,,7/8/2016
Sage Fire,2016-07-09T12:04:00Z,Los Angeles,,7/9/2016
Mercury Fire,2016-07-09T12:43:00Z,San Benito,,7/9/2016
Scott Fire,2016-07-10T15:30:00Z,Sacramento,,7/10/2016
Big Fire,2016-07-11T14:30:00Z,Fresno,,7/11/2016
Shelter Fire,2016-07-11T12:58:00Z,Ventura,,7/11/2016
Pacheco Fire,2016-07-12T13:14:00Z,Calaveras,,7/12/2016
Stagecoach Fire,2016-07-12T15:19:00Z,Calaveras,,7/12/2016
Onyx Fire,2016-07-13T17:08:00Z,Kern,,7/13/2016
Sherwood Fire,2016-07-13T15:52:00Z,Ventura,,7/13/2016
Dunnigan Fire,2016-07-15T14:00:00Z,Yolo,,7/15/2016
Famoso Fire,2016-07-15T23:55:00Z,Kern,,7/15/2016
Green Fire,2016-07-15T16:45:00Z,Fresno,,7/15/2016
Feather Fire,2016-07-18T13:08:00Z,San Diego,,7/18/2016
Foothill Fire,2016-07-19T17:16:00Z,Lake,,7/19/2016
Bailey Fire,2016-07-19T14:09:00Z,Siskiyou,,7/19/2016
Baker Fire,2016-07-21T15:06:00Z,Calaveras,,7/21/2016
Roblar Fire,2016-07-21T16:06:00Z,San Diego,,7/21/2016
Table Fire,2016-07-21T20:30:00Z,Siskiyou,,7/21/2016
Oak Fire,2016-07-22T13:01:00Z,Solano,,7/22/2016
Bradley Fire,2016-07-22T15:15:00Z,Monterey,,7/22/2016
Soberanes Fire,2016-07-22T08:48:00Z,Monterey,,7/22/2016
Storksbill Fire,2016-07-22T13:15:00Z,El Dorado,,7/22/2016
Rock Fire,2016-07-22T14:47:00Z,San Diego,,7/22/2016
Franklin Fire,2016-07-24T16:30:00Z,Contra Costa,,7/24/2016
Fork Fire,2016-07-29T17:55:00Z,Madera,,7/29/2016
Goose Fire,2016-07-30T16:40:00Z,Fresno,,7/30/2016
Frymire Fire,2016-07-30T17:25:00Z,Tuolumne,,7/30/2016
Sierra Fire,2016-07-30T17:25:00Z,Santa Clara,,7/30/2016
99 Fire,2016-08-02T14:35:00Z,Butte,,8/2/2016
Cold Fire,2016-08-02T16:36:00Z,Yolo,,8/2/2016
Baker Fire,2016-08-03T17:27:00Z,Tehama,,8/3/2016
Hart Fire,2016-08-04T17:10:00Z,Kern,,8/4/2016
Grub Fire,2016-08-04T14:13:00Z,Madera,,8/4/2016
Deer Fire,2016-08-05T13:49:00Z,Amador,,8/5/2016
Pilot Fire,2016-08-07T12:18:00Z,San Bernardino,,8/7/2016
Kugelman Fire,2016-08-09T17:30:00Z,Lake,,8/9/2016
Knoxville Fire,2016-08-09T18:50:00Z,Lake,,8/9/2016
Mineral Fire,2016-08-09T13:08:00Z,Fresno,,8/9/2016
Mountain Fire,2016-08-09T12:14:00Z,Shasta,,8/9/2016
Gopher Fire,2016-08-10T09:14:00Z,San Diego,,8/10/2016
Stafford Fire,2016-08-11T14:57:00Z,Humboldt,,8/11/2016
Oak Fire,2016-08-12T16:00:00Z,Santa Clara,,8/12/2016
Summit Fire,2016-08-12T17:23:00Z,Humboldt,,8/12/2016
Chimney Fire,2016-08-13T16:03:00Z,San Luis Obispo,,8/13/2016
Clayton Fire,2016-08-13T18:03:00Z,Lake,,8/13/2016
Blue Cut Fire,2016-08-16T10:44:00Z,San Bernardino,,8/16/2016
Cedar Fire,2016-08-16T16:35:00Z,Kern,,8/16/2016
Mokelumne Fire,2016-08-18T12:05:00Z,Alpine,,8/18/2016
Beale Fire,2016-08-18T15:35:00Z,Yuba,,8/18/2016
Bird Fire,2016-08-20T08:35:00Z,San Joaquin,,8/20/2016
Tully Fire,2016-08-22T16:03:00Z,Humboldt,,8/22/2016
Tule Fire,2016-08-22T22:00:00Z,Tulare,,8/22/2016
Grade Fire,2016-08-24T14:55:00Z,Siskiyou,,8/24/2016
Santos Fire,2016-08-26T15:30:00Z,Butte,,8/26/2016
Range Fire,2016-08-26T10:10:00Z,Kern,,8/26/2016
Gap Fire,2016-08-27T18:00:00Z,Siskiyou,,8/27/2016
Havilah Fire,2016-08-28T18:50:00Z,Kern,,8/28/2016
Willow Fire,2016-08-28T13:07:00Z,Calaveras,,8/28/2016
Mina Fire,2016-08-30T13:35:00Z,Mendocino,,8/30/2016
Mockingbird Fire,2016-08-30T16:54:00Z,Lake,,8/30/2016
Holy Fire,2016-08-31T04:10:00Z,Orange,,8/31/2016
Oak Fire,2016-09-01T14:36:00Z,Santa Clara,,9/1/2016
Ken Fire,2016-09-03T21:51:00Z,San Bernardino,,9/3/2016
Sunny Fire,2016-09-03T14:44:00Z,Fresno,,9/3/2016
Saddle Fire,2016-09-05T16:28:00Z,Butte,,9/5/2016
Spring Fire,2016-09-07T16:53:00Z,San Bernardino,,9/7/2016
Phoenix Fire,2016-09-07T15:09:00Z,Nevada,,9/7/2016
Ruff Fire ,2016-09-10T14:06:00Z,Mendocino,,9/10/2016
Lake Fire,2016-09-10T15:45:00Z,Shasta,,9/10/2016
Boys Fire,2016-09-11T11:25:00Z,Sacramento,,9/11/2016
Willard Fire,2016-09-11T11:33:00Z,Lassen,,9/11/2016
Howard Fire,2016-09-11T14:15:00Z,Modoc,,9/11/2016
Moffett Fire,2016-09-12T16:28:00Z,Siskiyou,,9/12/2016
Hog Fire,2016-09-13T23:10:00Z,Tehama,,9/13/2016
Old Fire,2016-09-13T13:55:00Z,Del Norte,,9/13/2016
Old Fire,2016-09-16T23:28:00Z,Butte,,9/16/2016
Auburn Fire,2016-09-17T13:40:00Z,Nevada,,9/17/2016
Owens River Fire,2016-09-17T13:49:00Z,Inyo,,9/17/2016
Soup Complex,2016-09-17T14:37:00Z,Modoc,,9/17/2016
Canyon Fire,2016-09-17T17:20:00Z,Santa Barbara,,9/17/2016
Butte Fire,2016-09-20T09:30:00Z,Sutter,,9/20/2016
Washington Fire,2016-09-22T14:20:00Z,Santa Barbara,,9/22/2016
Bangor Fire,2016-09-22T11:45:00Z,Butte,,9/22/2016
Bell Fire,2016-09-23T13:12:00Z,Amador,,9/23/2016
Newmark Fire,2016-09-23T12:40:00Z,Fresno,,9/23/2016
Cow Fire,2016-09-25T07:15:00Z,Shasta,,9/25/2016
Sawmill Fire,2016-09-25T10:43:00Z,Sonoma,,9/25/2016
Marshes Fire,2016-09-26T12:20:00Z,Tuolumne,,9/26/2016
Tobin Fire,2016-09-26T13:23:00Z,Plumas,,9/26/2016
Loma Fire,2016-09-26T14:42:00Z,Santa Clara,,9/26/2016
Creek Fire,2016-10-10T16:13:00Z,Napa,,10/10/2016
Sacata Fire,2016-10-11T12:58:00Z,Fresno,,10/11/2016
Emerald Fire,2016-10-14T01:28:00Z,El Dorado,,10/14/2016
Jacobson Fire,2016-10-20T17:00:00Z,Tulare,,10/20/2016
Meadow Fire,2016-10-29T11:15:00Z,Tulare,,10/29/2016
Gopher Fire,2016-11-13T11:14:00Z,San Diego,,11/13/2016
Marek Fire,2016-11-14T05:45:00Z,Los Angeles,,11/14/2016
Oroville Spillway ,2017-02-07T14:00:00Z,Butte,,2/7/2017
Grace Fire,2017-04-03T16:00:00Z,Shasta,,4/3/2017
West Fire,2017-04-03T16:00:00Z,Modoc,,4/3/2017
66 Fire,2017-04-13T02:30:00Z,Riverside,,4/13/2017
Jayne Fire,2017-04-20T15:40:00Z,Fresno,,4/20/2017
Soledad Fire,2017-04-24T12:06:00Z,Monterey,,4/24/2017
El Dorado Fire,2017-04-28T15:40:00Z,Fresno,,4/28/2017
Tumey Fire,2017-04-29T17:15:00Z,Fresno,,4/29/2017
Tower Fire,2017-04-30T16:03:00Z,San Bernardino,,4/30/2017
Opera Fire,2017-04-30T15:23:00Z,Riverside,,4/30/2017
Jameson Fire,2017-04-30T19:43:00Z,Riverside,,4/30/2017
Fay Fire,2017-05-01T12:44:00Z,Kern,,5/1/2017
Olive Fire,2017-05-02T14:32:00Z,San Luis Obispo,,5/2/2017
Shandon Fire,2017-05-07T16:41:00Z,San Luis Obispo,,5/7/2017
Sonoma Fire,2017-05-10T15:27:00Z,Fresno,,5/10/2017
Hub Fire,2017-05-12T05:05:00Z,Kern,,5/12/2017
Wright Fire,2017-05-12T15:30:00Z,Merced,,5/12/2017
Nacimiento Fire,2017-05-14T12:00:00Z,Monterey,,5/14/2017
Canyon Fire,2017-05-14T12:51:00Z,Riverside,,5/14/2017
Feed Fire,2017-05-14T14:00:00Z,Kern,,5/14/2017
Arrow Fire,2017-05-15T13:58:00Z,San Luis Obispo,,5/15/2017
Bravo Fire,2017-05-15T14:05:00Z,Kern,,5/15/2017
Pine Fire,2017-05-16T16:10:00Z,Monterey,,5/16/2017
Lonoak Fire,2017-05-17T15:18:00Z,Monterey,,5/17/2017
41 Fire,2017-05-17T15:30:00Z,Madera,,5/17/2017
Camp Fire,2017-05-18T08:48:00Z,San Luis Obispo,,5/18/2017
Elm Fire,2017-05-18T13:11:00Z,Fresno,,5/18/2017
City Fire,2017-05-18T12:54:00Z,Kings,,5/18/2017
Moraga Fire,2017-05-18T17:25:00Z,Riverside,,5/18/2017
Manning Fire,2017-05-19T23:28:00Z,Fresno,,5/19/2017
Range Fire,2017-05-19T13:10:00Z,San Luis Obispo,,5/19/2017
Deluz Fire,2017-05-19T14:45:00Z,San Diego,,5/19/2017
Gate Fire,2017-05-20T23:19:00Z,San Diego,,5/20/2017
Rocky Fire,2017-05-20T13:11:00Z,San Luis Obispo,,5/20/2017
Ming Fire,2017-05-20T14:23:00Z,Kern,,5/20/2017
Wasioja Fire,2017-05-20T17:54:00Z,Santa Barbara,,5/20/2017
Smiley Fire,2017-05-21T16:12:00Z,Riverside,,5/21/2017
Bitterwater Fire,2017-05-22T04:50:00Z,San Benito,,5/22/2017
Moreno Fire,2017-05-23T13:13:00Z,Riverside,,5/23/2017
Ribbonwood Fire,2017-05-24T15:30:00Z,San Diego,,5/24/2017
Range Fire,2017-05-25T18:15:00Z,San Diego,,5/25/2017
Lamb Fire,2017-05-25T14:48:00Z,Riverside,,5/25/2017
Champagne Fire,2017-05-28T10:59:00Z,Kern,,5/28/2017
Rusty Fire,2017-05-28T07:49:00Z,Fresno,,5/28/2017
Serenas Fire,2017-05-28T15:27:00Z,Riverside,,5/28/2017
Lombardi Fire,2017-05-28T15:30:00Z,Calaveras,,5/28/2017
Panoche Fire,2017-05-28T16:16:00Z,Fresno,,5/28/2017
Matz Fire,2017-05-29T01:20:00Z,San Bernardino,,5/29/2017
Twenty Fire,2017-05-29T15:31:00Z,Yuba,,5/29/2017
Fountain Fire ,2017-05-31T11:30:00Z,Tulare,,5/31/2017
Clay Fire,2017-06-01T15:38:00Z,Sacramento,,6/1/2017
Fairview Fire,2017-06-01T16:12:00Z,Riverside,,6/1/2017
Elk Fire,2017-06-02T18:55:00Z,Kern,,6/2/2017
Jones Fire,2017-06-03T13:09:00Z,Modoc,,6/3/2017
Vernon Fire,2017-06-03T12:09:00Z,Riverside,,6/3/2017
5 Fire,2017-06-03T15:39:00Z,Los Angeles,,6/3/2017
Creek Fire ,2017-06-04T22:11:00Z,Kern,,6/4/2017
Spring Fire ,2017-06-04T16:22:00Z,Tehama,,6/4/2017
River Fire,2017-06-04T16:12:00Z,Lassen,,6/4/2017
Shirleon Fire ,2017-06-04T16:48:00Z,Riverside,,6/4/2017
Fish Fire,2017-06-05T13:17:00Z,Contra Costa,,6/5/2017
Pine Fire,2017-06-05T14:02:00Z,Kern,,6/5/2017
Wilbur Fire,2017-06-06T12:43:00Z,Butte,,6/6/2017
Whitepine Fire,2017-06-06T16:38:00Z,Siskiyou,,6/6/2017
Dinely Fire,2017-06-07T11:55:00Z,Tulare,,6/7/2017
26 Fire,2017-06-07T21:00:00Z,Madera,,6/7/2017
Island Fire,2017-06-09T13:00:00Z,,,6/9/2017
Breckenridge Fire,2017-06-09T04:53:00Z,Kern,,6/9/2017
Hog Fire,2017-06-09T16:15:00Z,Monterey,,6/9/2017
Bodfish Fire,2017-06-10T12:17:00Z,Kern,,6/10/2017
Oakwood Fire,2017-06-10T13:19:00Z,Madera,,6/10/2017
Wild Fire,2017-06-11T10:46:00Z,Fresno,,6/11/2017
Pleyto Fire,2017-06-11T18:12:00Z,Monterey,,6/11/2017
Monterey Fire,2017-06-11T17:15:00Z,Fresno,,6/11/2017
Tivy Fire,2017-06-11T22:45:00Z,Fresno,,6/11/2017
Red Fire,2017-06-11T18:49:00Z,Tuolumne,,6/11/2017
Refuge Fire,2017-06-13T10:18:00Z,Napa,,6/13/2017
Valley Fire,2017-06-13T12:00:00Z,Riverside,,6/13/2017
Douglas Fire,2017-06-13T14:31:00Z,San Diego,,6/13/2017
King Fire,2017-06-13T17:00:00Z,Tulare,,6/13/2017
Reed Fire,2017-06-13T17:21:00Z,Riverside,,6/13/2017
Lucy Fire,2017-06-14T11:44:00Z,San Luis Obispo,,6/14/2017
Westfall Fire,2017-06-15T07:30:00Z,Mariposa,,6/15/2017
Canyon Fire,2017-06-15T11:36:00Z,Riverside,,6/15/2017
Nuevo Fire,2017-06-15T15:51:00Z,Riverside,,6/15/2017
Skyway Fire,2017-06-16T09:27:00Z,Butte,,6/16/2017
Springs Fire,2017-06-16T14:51:00Z,Riverside,,6/16/2017
Shore Fire,2017-06-16T15:49:00Z,Monterey,,6/16/2017
Lake Fire,2017-06-17T13:55:00Z,Los Angeles,,6/17/2017
Bolla Fire,2017-06-18T07:15:00Z,Tehama,,6/18/2017
Lambs Fire,2017-06-18T12:28:00Z,Riverside,,6/18/2017
Smiley Fire,2017-06-18T15:10:00Z,Riverside,,6/18/2017
Road Fire,2017-06-18T14:04:00Z,Madera,,6/18/2017
Highway Fire,2017-06-18T14:22:00Z,Kern,,6/18/2017
Trellis Fire,2017-06-18T16:03:00Z,Riverside,,6/18/2017
Bogus Fire,2017-06-18T15:45:00Z,Siskiyou,,6/18/2017
Holcomb Fire,2017-06-19T15:05:00Z,San Bernardino,,6/19/2017
Evans Fire,2017-06-19T21:41:00Z,Sierra,,6/19/2017
Orange Fire,2017-06-21T14:45:00Z,Stanislaus,,6/21/2017
Quimby Fire,2017-06-21T18:02:00Z,Santa Clara,,6/21/2017
Toll Fire,2017-06-22T13:08:00Z,Solano,,6/22/2017
Highway Fire,2017-06-22T09:49:00Z,Butte,,6/22/2017
Lone Fire,2017-06-22T11:10:00Z,Butte,,6/22/2017
Creek Fire,2017-06-23T16:00:00Z,Fresno,,6/23/2017
King Incident,2017-06-23T22:32:00Z,Tulare,,6/23/2017
Paskenta Fire,2017-06-24T11:15:00Z,Tehama,,6/24/2017
Placerita Fire,2017-06-25T12:47:00Z,Los Angeles,,6/25/2017
Black Fire,2017-06-25T12:09:00Z,San Diego,,6/25/2017
Salmon-August Complex ,2017-06-25T17:00:00Z,Siskiyou,,6/25/2017
Manzanita Fire,2017-06-26T15:10:00Z,Riverside,,6/26/2017
King Fire,2017-06-26T12:30:00Z,Siskiyou,,6/26/2017
Hill Fire,2017-06-26T15:27:00Z,San Luis Obispo,,6/26/2017
Shore Fire,2017-06-26T21:30:00Z,Del Norte,,6/26/2017
Latrobe Fire,2017-06-27T07:39:00Z,Sacramento,,6/27/2017
Pine Fire,2017-06-27T10:39:00Z,Marin,,6/27/2017
Sloane Fire,2017-06-27T09:38:00Z,San Diego,,6/27/2017
Mart Fire,2017-06-27T15:22:00Z,San Bernardino,,6/27/2017
Alvarado Fire,2017-06-28T09:30:00Z,Monterey,,6/28/2017
Battle Fire,2017-06-28T13:50:00Z,Modoc,,6/28/2017
Ben Fire,2017-06-28T15:49:00Z,Mariposa,,6/28/2017
 Cristianitos Fire,2017-06-28T17:56:00Z,San Diego,,6/28/2017
Ranch Fire,2017-06-29T13:56:00Z,Santa Clara,,6/29/2017
Lockwood Fire,2017-06-29T20:44:00Z,Monterey,,6/29/2017
Topanga Fire,2017-06-29T15:09:00Z,Los Angeles,,6/29/2017
Stokes Fire,2017-06-29T15:45:00Z,Los Angeles,,6/29/2017
Tarina Fire ,2017-06-30T13:49:00Z,Kern,,6/30/2017
Oak Fire,2017-07-01T00:48:00Z,Shasta,,7/1/2017
Brewer Fire,2017-07-02T12:41:00Z,Nevada,,7/2/2017
Lisa Fire,2017-07-02T13:04:00Z,Riverside,,7/2/2017
Desabla Fire,2017-07-02T13:43:00Z,Butte,,7/2/2017
Spring Fire,2017-07-02T13:36:00Z,Mariposa,,7/2/2017
Derrick Fire,2017-07-02T22:28:00Z,Fresno,,7/2/2017
Timber Fire,2017-07-03T19:31:00Z,Riverside,,7/3/2017
Canyon Fire,2017-07-03T13:34:00Z,Riverside,,7/3/2017
Lago Fire,2017-07-03T15:14:00Z,Riverside,,7/3/2017
Valley Fire,2017-07-04T13:21:00Z,San Benito,,7/4/2017
Silver Fire,2017-07-04T13:15:00Z,San Bernardino,,7/4/2017
Freedom Fire,2017-07-04T13:21:00Z,Fresno,,7/4/2017
Jurupa Fire,2017-07-04T15:20:00Z,Riverside,,7/4/2017
Lakeland Fire,2017-07-04T15:45:00Z,Butte,,7/4/2017
Grade Fire,2017-07-04T14:45:00Z,Ventura,,7/4/2017
Klamath Fire,2017-07-04T15:21:00Z,Siskiyou,,7/4/2017
Eagle Fire,2017-07-04T16:55:00Z,Riverside,,7/4/2017
Globe Fire,2017-07-05T08:24:00Z,Tulare,,7/5/2017
Fay Fire,2017-07-05T11:05:00Z,Siskiyou,,7/5/2017
Auberry Fire,2017-07-05T15:40:00Z,Fresno,,7/5/2017
Gold Fire,2017-07-05T16:56:00Z,Calaveras,,7/5/2017
Winters Fire,2017-07-06T12:41:00Z,Yolo,,7/6/2017
Quail Fire,2017-07-06T12:29:00Z,Kern,,7/6/2017
Alamo Fire,2017-07-06T15:44:00Z,San Luis Obispo,,7/6/2017
Antelope Fire,2017-07-06T13:00:00Z,Lassen,,7/6/2017
Hawk Fire,2017-07-07T09:18:00Z,Kern,,7/7/2017
Daulton Fire,2017-07-07T10:00:00Z,Madera,,7/7/2017
Christmas Fire,2017-07-07T12:56:00Z,Riverside,,7/7/2017
Wall Fire,2017-07-07T14:52:00Z,Butte,,7/7/2017
Bryant Fire,2017-07-07T15:45:00Z,San Bernardino,,7/7/2017
Tower Fire,2017-07-07T16:23:00Z,San Luis Obispo,,7/7/2017
Banderilla Fire,2017-07-07T15:50:00Z,Mariposa,,7/7/2017
Axel Fire,2017-07-08T16:38:00Z,El Dorado,,7/8/2017
Lake Fire,2017-07-08T11:00:00Z,Stanislaus,,7/8/2017
Deer Complex,2017-07-08T02:20:00Z,Contra Costa,,7/8/2017
Whittier Fire,2017-07-08T13:43:00Z,Santa Barbara,,7/8/2017
Willow Fire,2017-07-08T15:26:00Z,Contra Costa,,7/8/2017
West Fire,2017-07-08T16:47:00Z,Yuba,,7/8/2017
Parkfield Fire,2017-07-08T18:30:00Z,"Monterey, San Luis Obispo",,7/8/2017
Benson Fire,2017-07-08T18:58:00Z,Tehama,,7/8/2017
Stone Fire,2017-07-09T13:49:00Z,San Luis Obispo,,7/9/2017
Garza Fire,2017-07-09T15:10:00Z,Kings,,7/9/2017
Honcut Fire,2017-07-10T14:45:00Z,Butte,,7/10/2017
Farad Fire,2017-07-10T13:02:00Z,Sierra,,7/10/2017
Felipe Fire,2017-07-10T15:54:00Z,Santa Clara,,7/10/2017
Jennings Fire,2017-07-11T13:45:00Z,San Diego,,7/11/2017
Long Valley Fire,2017-07-11T14:15:00Z,Lassen,,7/11/2017
Lariat Fire,2017-07-11T16:51:00Z,Santa Clara,,7/11/2017
Rosado Fire,2017-07-12T13:51:00Z,El Dorado,,7/12/2017
Rebie Fire,2017-07-12T13:55:00Z,Butte,,7/12/2017
Quail Fire,2017-07-12T13:10:00Z,Calaveras,,7/12/2017
Hidden Fire,2017-07-12T15:29:00Z,San Bernardino,,7/12/2017
Spaletta Fire,2017-07-12T16:15:00Z,Marin,,7/12/2017
Chetco Fire,2017-07-12T13:45:00Z,,,7/12/2017
Dode Fire,2017-07-13T15:23:00Z,Modoc,,7/13/2017
Washington Fire,2017-07-13T10:28:00Z,Riverside,,7/13/2017
Navajo Fire,2017-07-13T14:14:00Z,Riverside,,7/13/2017
Bridge Fire,2017-07-14T14:23:00Z,San Bernardino,,7/14/2017
North Fire,2017-07-15T18:10:00Z,Shasta,,7/15/2017
Reservation Fire,2017-07-16T11:17:00Z,Monterey,,7/16/2017
Grade Fire,2017-07-16T14:51:00Z,Mendocino,,7/16/2017
Detwiler Fire,2017-07-16T15:56:00Z,Mariposa,,7/16/2017
Mesa Fire,2017-07-17T14:55:00Z,Santa Barbara,,7/17/2017
Range Fire,2017-07-17T12:37:00Z,Mendocino,,7/17/2017
Park Fire,2017-07-17T13:15:00Z,Fresno,,7/17/2017
Sand Fire,2017-07-17T13:17:00Z,Colusa,,7/17/2017
Maria Fire,2017-07-17T12:55:00Z,Calaveras,,7/17/2017
Centerville Fire,2017-07-17T13:38:00Z,Modoc,,7/17/2017
Murphy Fire,2017-07-17T14:44:00Z,Lake,,7/17/2017
Fox Fire,2017-07-17T15:32:00Z,Tulare,,7/17/2017
Hudson Fire,2017-07-18T11:45:00Z,Kern,,7/18/2017
Laverne Fire,2017-07-18T12:39:00Z,Shasta,,7/18/2017
Ellis Fire,2017-07-18T15:34:00Z,Riverside,,7/18/2017
Hogback Fire,2017-07-18T15:50:00Z,Tulare,,7/18/2017
Willms Fire,2017-07-18T22:39:00Z,Stanislaus,,7/18/2017
Creek Fire,2017-07-19T17:30:00Z,Glenn,,7/19/2017
Humboldt Fire,2017-07-19T16:02:00Z,Butte,,7/19/2017
Marble Fire,2017-07-19T14:00:00Z,Del Norte,,7/19/2017
Zenon Fire,2017-07-20T14:43:00Z,San Luis Obispo,,7/20/2017
Elephant Fire,2017-07-20T19:16:00Z,Tulare,,7/20/2017
Grizzly Fire,2017-07-21T16:50:00Z,Nevada,,7/21/2017
Dollar Fire,2017-07-22T13:35:00Z,San Bernardino,,7/22/2017
Lost Fire,2017-07-22T15:00:00Z,San Diego,,7/22/2017
Seine Fire,2017-07-22T15:49:00Z,San Bernardino,,7/22/2017
Castro Fire,2017-07-23T16:07:00Z,Santa Clara,,7/23/2017
High Fire,2017-07-23T15:53:00Z,San Bernardino,,7/23/2017
Warner Mountain Lightning,2017-07-23T00:00:00Z,Modoc,,7/23/2017
Olive Fire,2017-07-24T14:43:00Z,San Luis Obispo,,7/24/2017
Spenceville Fire,2017-07-24T14:56:00Z,Yuba,,7/24/2017
Clear Complex (merged into Eclipse Complex),2017-07-25T12:45:00Z,Siskiyou,,7/25/2017
Woodland Fire,2017-07-25T14:13:00Z,El Dorado,,7/25/2017
Orleans Complex,2017-07-26T18:00:00Z,Siskiyou,,7/26/2017
Ranch Fire,2017-07-26T13:58:00Z,El Dorado,,7/26/2017
Latrobe Fire,2017-07-26T14:45:00Z,Sacramento,,7/26/2017
Weller Fire,2017-07-26T23:19:00Z,Santa Clara,,7/26/2017
Greenhorn Fire,2017-07-27T14:49:00Z,Nevada,,7/27/2017
Gorman Fire,2017-07-28T15:25:00Z,Los Angeles,,7/28/2017
Placentia Fire,2017-07-28T18:11:00Z,Riverside,,7/28/2017
Live Fire,2017-07-28T13:24:00Z,Tehama,,7/28/2017
Minerva Fire,2017-07-29T18:55:00Z,Plumas,,7/29/2017
Jacksonville Fire,2017-07-29T13:50:00Z,Tuolumne,,7/29/2017
Sky Fire,2017-07-29T17:29:00Z,Shasta,,7/29/2017
Hill Fire,2017-07-29T16:33:00Z,Siskiyou,,7/29/2017
Roadrunner Fire,2017-07-30T17:43:00Z,Tulare,,7/30/2017
Twist Fire,2017-07-30T16:28:00Z,Tuolumne,,7/30/2017
Largo Fire,2017-07-30T01:45:00Z,El Dorado,,7/30/2017
Garden Fire,2017-07-30T16:17:00Z,Kern,,7/30/2017
Independence Fire,2017-07-31T23:17:00Z,Sonoma,,7/31/2017
Mile Fire,2017-07-31T14:44:00Z,San Bernardino,,7/31/2017
Rose Fire,2017-07-31T14:22:00Z,Riverside,,7/31/2017
Summit Complex,2017-07-31T13:44:00Z,Stanislaus,,7/31/2017
Sway Fire,2017-08-01T10:23:00Z,Humboldt,,8/1/2017
Falls Fire,2017-08-01T16:33:00Z,Tuolumne,,8/1/2017
Empire Fire,2017-08-01T08:45:00Z,Mariposa,,8/1/2017
Sandy Fire,2017-08-02T08:30:00Z,Trinity,,8/2/2017
Camatta Fire,2017-08-02T10:33:00Z,San Luis Obispo,,8/2/2017
Red Fire,2017-08-02T10:15:00Z,San Luis Obispo,,8/2/2017
Indian Fire,2017-08-02T18:00:00Z,Tulare,,8/2/2017
Sandy Fire,2017-08-02T11:13:00Z,Trinity,,8/2/2017
Saw Fire,2017-08-03T11:58:00Z,Humboldt,,8/3/2017
Bryant Fire,2017-08-03T15:35:00Z,San Bernardino,,8/3/2017
Rincon Fire,2017-08-03T16:21:00Z,Los Angeles,,8/3/2017
Blocksburg Fire,2017-08-03T16:41:00Z,Humboldt,,8/3/2017
Parker 2 Fire,2017-08-03T14:00:00Z,Modoc,,8/3/2017
Stewart Fire,2017-08-04T14:25:00Z,Riverside,,8/4/2017
Calgary Fire,2017-08-05T13:16:00Z,Kern,,8/5/2017
Chilcoot Fire,2017-08-06T15:32:00Z,Plumas,,8/6/2017
W-2 Fire,2017-08-06T15:29:00Z,Lassen,,8/6/2017
Poslin Fire,2017-08-06T19:52:00Z,Lassen,,8/6/2017
Reed Fire,2017-08-07T14:14:00Z,Riverside,,8/7/2017
Country Fire,2017-08-07T18:08:00Z,Monterey,,8/7/2017
Ruth Complex,2017-08-07T22:30:00Z,Trinity,,8/7/2017
