incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Young Fire,2017-08-07T17:45:00Z,Siskiyou,,8/7/2017
Bottle Fire,2017-08-08T16:40:00Z,Lake,,8/8/2017
Rose Fire,2017-08-10T14:32:00Z,Kern,,8/10/2017
Paskenta Fire ,2017-08-10T17:24:00Z,Tehama,,8/10/2017
Tilton Fire,2017-08-11T14:55:00Z,Santa Clara,,8/11/2017
Canyon Fire,2017-08-11T12:57:00Z,Napa,,8/11/2017
Yankee Fire,2017-08-11T16:06:00Z,San Luis Obispo,,8/11/2017
Nuevo Fire,2017-08-13T13:34:00Z,Riverside,,8/13/2017
Ward Fire,2017-08-13T12:41:00Z,Siskiyou,,8/13/2017
Blaine Fire,2017-08-13T16:10:00Z,Riverside,,8/13/2017
Coronado Fire,2017-08-13T16:23:00Z,Mariposa,,8/13/2017
South Fork Fire,2017-08-14T14:28:00Z,Mariposa,,8/14/2017
Mias Fire,2017-08-14T15:45:00Z,Riverside,,8/14/2017
Miller Complex,2017-08-14T14:00:00Z,Siskiyou,,8/14/2017
Eclipse Complex,2017-08-15T07:55:00Z,Siskiyou,,8/15/2017
Corner Fire,2017-08-17T14:15:00Z,Shasta,,8/17/2017
Hills Fire,2017-08-19T16:31:00Z,Riverside,,8/19/2017
Beale Fire,2017-08-20T14:44:00Z,Yuba,,8/20/2017
Toll Fire,2017-08-20T16:26:00Z,Plumas,,8/20/2017
Eclipse Fire,2017-08-21T14:00:00Z,San Diego,,8/21/2017
Range Fire,2017-08-22T14:00:00Z,Alameda,,8/22/2017
Juniper Fire,2017-08-23T13:28:00Z,Fresno,,8/23/2017
I-5 Fire,2017-08-24T18:13:00Z,Kings,,8/24/2017
Montezuma Fire,2017-08-26T11:30:00Z,San Diego,,8/26/2017
Peg Fire,2017-08-26T12:35:00Z,Lassen,,8/26/2017
Vestal Fire,2017-08-26T15:03:00Z,Tehama,,8/26/2017
Flat Fire,2017-08-26T14:31:00Z,Fresno,,8/26/2017
Mines Fire,2017-08-27T17:45:00Z,Alameda,,8/27/2017
Bodega Fire,2017-08-27T13:30:00Z,Sonoma,,8/27/2017
Canyon Fire,2017-08-27T14:51:00Z,Riverside,,8/27/2017
Hill Fire,2017-08-27T18:47:00Z,Fresno,,8/27/2017
Translator Fire,2017-08-28T08:01:00Z,Humboldt,,8/28/2017
Sandra Fire,2017-08-28T17:06:00Z,Amador,,8/28/2017
Bradley Fire,2017-08-28T21:38:00Z,Siskiyou,,8/28/2017
Bradley Fire,2017-08-28T22:00:00Z,Siskiyou,,8/28/2017
Pier Fire,2017-08-29T08:29:00Z,Tulare,,8/29/2017
Ponderosa Fire,2017-08-29T13:16:00Z,Butte,,8/29/2017
Railroad Fire,2017-08-29T12:19:00Z,Madera,,8/29/2017
Mud Fire,2017-08-29T14:36:00Z,Lassen,,8/29/2017
Owens Fire,2017-08-29T15:39:00Z,Siskiyou,,8/29/2017
Slinkard Fire,2017-08-29T15:15:00Z,Mono,,8/29/2017
4-4 Fire,2017-08-30T11:38:00Z,Modoc,,8/30/2017
Pleasant Fire,2017-08-30T15:38:00Z,Nevada,,8/30/2017
4-10 Fire,2017-08-30T14:50:00Z,Modoc,,8/30/2017
Coalinga Fire,2017-08-30T16:51:00Z,Fresno,,8/30/2017
Helena - Fork Fire,2017-08-30T18:00:00Z,Trinity,,8/30/2017
R-4 Fire,2017-08-30T08:30:00Z,Lassen,,8/30/2017
Miller Fire,2017-08-31T13:57:00Z,Humboldt,,8/31/2017
Marlborough Fire,2017-08-31T10:13:00Z,Riverside,,8/31/2017
Castaic Fire,2017-08-31T16:32:00Z,Los Angeles,,8/31/2017
Border Fire,2017-09-01T04:20:00Z,San Diego,,9/1/2017
Hopper Fire,2017-09-01T11:21:00Z,Shasta,,9/1/2017
Caldwell Fire,2017-09-01T14:37:00Z,Kern,,9/1/2017
La Tuna Fire ,2017-09-01T13:26:00Z,Los Angeles,,9/1/2017
Palmer Fire,2017-09-02T13:33:00Z,Riverside,,9/2/2017
Creek Fire,2017-09-03T16:23:00Z,Stanislaus,,9/3/2017
Mission Fire,2017-09-03T13:06:00Z,Madera,,9/3/2017
Parkfield Fire,2017-09-03T09:23:00Z,Fresno,,9/3/2017
Margarita Fire,2017-09-03T16:59:00Z,San Luis Obispo,,9/3/2017
Mills File,2017-09-03T20:32:00Z,Plumas,,9/3/2017
Bally Fire,2017-09-03T19:17:00Z,Santa Clara,,9/3/2017
Peak Fire,2017-09-03T13:10:00Z,Mariposa,,9/3/2017
Mule Fire,2017-09-05T14:55:00Z,Lake,,9/5/2017
Eureka Fire,2017-09-05T18:38:00Z,Plumas,,9/5/2017
Border 9 Fire,2017-09-07T15:41:00Z,San Diego,,9/7/2017
Rattlesnake Fire,2017-09-07T15:00:00Z,Mariposa,,9/7/2017
Ellie Fire,2017-09-10T13:49:00Z,Riverside,,9/10/2017
Pine Fire,2017-09-11T15:11:00Z,Monterey,,9/11/2017
Shaver Fire,2017-09-11T10:00:00Z,Fresno,,9/11/2017
Skeggs Fire,2017-09-11T19:41:00Z,San Mateo,,9/11/2017
Skeleton Fire,2017-09-12T14:36:00Z,Lake,,9/12/2017
Berry Fire,2017-09-12T06:58:00Z,Shasta,,9/12/2017
Hole Fire,2017-09-12T12:45:00Z,Del Norte,,9/12/2017
Pacific Fire,2017-09-12T17:24:00Z,Butte,,9/12/2017
Slides Fire,2017-09-12T16:08:00Z,Lake,,9/12/2017
Buck Fire,2017-09-12T17:42:00Z,Trinity,,9/12/2017
French Fire,2017-09-17T15:18:00Z,El Dorado,,9/17/2017
Eastman Fire,2017-09-18T16:04:00Z,Madera,,9/18/2017
Table Fire,2017-09-19T00:22:00Z,Tuolumne,,9/19/2017
Grape Fire,2017-09-19T13:02:00Z,Mendocino,,9/19/2017
Corral Fire,2017-09-19T14:05:00Z,Alameda,,9/19/2017
Murphy Fire,2017-09-19T19:47:00Z,Fresno,,9/19/2017
Power Fire,2017-09-20T21:07:00Z,Madera,,9/20/2017
Huasna Fire,2017-09-20T13:41:00Z,San Luis Obispo,,9/20/2017
Dexter Fire,2017-09-20T14:53:00Z,Mariposa,,9/20/2017
Cove Fire,2017-09-23T15:40:00Z,San Luis Obispo,,9/23/2017
Estate Fire,2017-09-23T11:05:00Z,Solano,,9/23/2017
32 Fire,2017-09-25T11:03:00Z,Butte,,9/25/2017
Canyon Fire,2017-09-25T13:03:00Z,Orange,,9/25/2017
Linne Fire,2017-09-26T16:45:00Z,San Luis Obispo,,9/26/2017
Jasper Fire,2017-09-26T15:20:00Z,Yuba,,9/26/2017
Edwards Fire,2017-09-26T12:22:00Z,Alameda,,9/26/2017
Poly Fire,2017-09-26T15:30:00Z,San Luis Obispo,,9/26/2017
Lion Fire,2017-09-27T14:00:00Z,Tulare,,9/27/2017
Soda Fire,2017-09-28T14:46:00Z,Butte,,9/28/2017
Rucker Fire,2017-09-29T14:42:00Z,Santa Barbara,,9/29/2017
Lakewood Fire,2017-09-29T15:58:00Z,Kern,,9/29/2017
Melba Fire,2017-09-29T18:01:00Z,Riverside,,9/29/2017
Timm Fire,2017-10-02T09:37:00Z,Solano,,10/2/2017
Ramblin Fire,2017-10-03T11:44:00Z,Mariposa,,10/3/2017
36 Fire,2017-10-03T16:22:00Z,Tehama,,10/3/2017
Ridge Fire,2017-10-06T14:38:00Z,Lake,,10/6/2017
Fort Fire,2017-10-07T20:00:00Z,Sonoma,,10/7/2017
Jones Fire,2017-10-08T04:53:00Z,Shasta,,10/8/2017
Freeway Fire,2017-10-08T12:15:00Z,Tehama,,10/8/2017
Blue Fire,2017-10-08T16:40:00Z,Humboldt,,10/8/2017
Cherokee Fire,2017-10-08T21:45:00Z,Butte,,10/8/2017
Atlas Fire (Southern LNU Complex),2017-10-08T21:52:00Z,"Napa, Solano",Wildfire,10/8/2017
Tubbs Fire (Central LNU Complex),2017-10-08T21:45:00Z,"Napa, Sonoma",Wildfire,10/8/2017
Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017-10-08T22:00:00Z,"Napa, Sonoma",Wildfire,10/8/2017
Partrick Fire (Central LNU Complex),2017-10-08T23:48:00Z,Napa,,10/8/2017
Cascade Fire (Wind Complex),2017-10-08T23:03:00Z,Yuba,Wildfire,10/8/2017
Redwood Valley Fire (Mendocino Lake Complex),2017-10-08T23:36:00Z,Mendocino,Wildfire,10/8/2017
Sulphur Fire (Mendocino Lake Complex),2017-10-08T23:59:00Z,Lake,,10/8/2017
LaPorte Fire (Wind Complex),2017-10-09T00:57:00Z,Butte,,10/9/2017
McCourtney Fire (Wind Complex),2017-10-09T00:00:00Z,Nevada,,10/9/2017
Point Fire,2017-10-09T01:10:00Z,Calaveras,,10/9/2017
37 Fire,2017-10-09T14:00:00Z,Sonoma,,10/9/2017
Pozo Fire,2017-10-09T14:30:00Z,San Luis Obispo,,10/9/2017
Lobo Fire (Wind Complex),2017-10-09T00:01:00Z,Nevada,Wildfire,10/9/2017
Honey Fire,2017-10-09T15:05:00Z,Butte,,10/9/2017
Canyon 2 Fire,2017-10-09T09:51:00Z,Orange,,10/9/2017
Pocket Fire (Central LNU Complex),2017-10-09T03:30:00Z,Sonoma,,10/9/2017
Pressley Fire (Central LNU Complex),2017-10-09T01:30:00Z,Sonoma,,10/9/2017
Garden Fire,2017-10-10T12:30:00Z,Nevada,,10/10/2017
Ice Fire,2017-10-10T15:36:00Z,El Dorado,,10/10/2017
Portola Fire,2017-10-10T14:57:00Z,Riverside,,10/10/2017
Silver Fire,2017-10-11T15:59:00Z,Fresno,,10/11/2017
Quarry Fire,2017-10-12T10:42:00Z,Kern,,10/12/2017
Lynch Fire,2017-10-13T12:14:00Z,San Luis Obispo,,10/13/2017
Table Fire,2017-10-13T13:16:00Z,El Dorado,,10/13/2017
Loma Fire,2017-10-13T15:40:00Z,San Diego,,10/13/2017
River Fire,2017-10-14T16:00:00Z,Trinity,,10/14/2017
Long Fire,2017-10-14T05:00:00Z,Lake,,10/14/2017
Oakmont Fire (Central LNU Complex),2017-10-14T20:35:00Z,Sonoma,,10/14/2017
Wilson Fire,2017-10-15T14:05:00Z,San Diego,,10/15/2017
Rolling Fire,2017-10-15T17:11:00Z,Kern,,10/15/2017
York Fire,2017-10-15T14:55:00Z,Monterey,,10/15/2017
Bear Fire,2017-10-16T22:30:00Z,Santa Cruz,,10/16/2017
Wilson Fire,2017-10-17T03:43:00Z,Los Angeles,,10/17/2017
Fallon Fire,2017-10-17T14:00:00Z,Alameda,,10/17/2017
Buffalo Fire,2017-10-17T10:19:00Z,San Diego,,10/17/2017
Milton Fire,2017-10-18T12:53:00Z,Stanislaus,,10/18/2017
Soda Fire,2017-10-20T12:13:00Z,San Luis Obispo,,10/20/2017
Church Fire,2017-10-21T13:04:00Z,San Diego,,10/21/2017
Extension Fire,2017-10-23T10:31:00Z,Riverside,,10/23/2017
Freeway Fire,2017-10-24T10:27:00Z,San Bernardino,,10/24/2017
Vista Fire,2017-10-24T14:44:00Z,Ventura,,10/24/2017
Tank Fire,2017-10-26T11:55:00Z,Kern,,10/26/2017
Wildomar Fire,2017-10-26T12:34:00Z,Riverside,,10/26/2017
Tehama Fire,2017-10-26T20:00:00Z,Tehama,,10/26/2017
 Bridge Fire,2017-10-31T11:22:00Z,Shasta,,10/31/2017
Roser Fire,2017-11-02T14:40:00Z,Tehama,,11/2/2017
Chris Fire,2017-11-13T11:28:00Z,Mono,,11/13/2017
Palm Fire,2017-11-14T16:11:00Z,Riverside,,11/14/2017
Bitterwater Fire,2017-11-25T16:46:00Z,San Benito,,11/25/2017
Oak Fire,2017-11-29T12:19:00Z,San Bernardino,,11/29/2017
Thomas Fire,2017-12-04T18:28:00Z,"Santa Barbara, Ventura",Wildfire,12/4/2017
Riverdale Fire,2017-12-04T12:26:00Z,Riverside,,12/4/2017
Meyers Fire,2017-12-05T13:28:00Z,San Bernardino,,12/5/2017
Little Mountain Fire,2017-12-05T13:35:00Z,San Bernardino,,12/5/2017
Rye Fire,2017-12-05T11:31:00Z,Los Angeles,,12/5/2017
Creek Fire,2017-12-05T03:44:00Z,Los Angeles,,12/5/2017
Skirball Fire,2017-12-06T06:31:00Z,Los Angeles,,12/6/2017
Lilac Fire,2017-12-07T11:15:00Z,San Diego,,12/7/2017
Liberty Fire,2017-12-07T13:14:00Z,Riverside,,12/7/2017
Longhorn Fire,2017-12-13T15:27:00Z,Riverside,,12/13/2017
Coast Fire,2017-12-14T12:59:00Z,Santa Barbara,Wildfire,12/14/2017
Drum Fire,2017-12-16T12:21:00Z,Santa Barbara,Wildfire,12/16/2017
Riverbottom Fire,2017-12-21T11:16:00Z,Riverside,Wildfire,12/21/2017
Holiday Fire,2017-12-28T20:51:00Z,El Dorado,Wildfire,12/28/2017
Haycamp Fire,2018-02-07T15:53:00Z,Monterey,,2/7/2018
Pleasant Fire,2018-02-18T14:12:00Z,Inyo,,2/18/2018
Santa Cruz Fire,2018-03-27T14:45:00Z,Santa Barbara,,3/27/2018
Rock Fire,2018-03-27T16:20:00Z,Shasta,,3/27/2018
Meadow Fire,2018-04-09T18:18:00Z,Riverside,,4/9/2018
Aqueduct Fire,2018-04-12T14:30:00Z,Fresno,,4/12/2018
Tyler Fire,2018-04-15T04:38:00Z,Riverside,,4/15/2018
Moffat Fire,2018-04-19T10:28:00Z,Inyo,,4/19/2018
Lago Fire,2018-04-22T13:35:00Z,Riverside,,4/22/2018
Grape Fire,2018-04-24T16:59:00Z,Humboldt,,4/24/2018
French Fire,2018-04-26T15:00:00Z,Plumas,,4/26/2018
Main Fire,2018-04-28T14:26:00Z,Riverside,,4/28/2018
Nees Fire,2018-05-02T16:00:00Z,Merced,,5/2/2018
Alpha Fire,2018-05-04T11:44:00Z,San Diego,,5/4/2018
Tornado Fire,2018-05-04T14:48:00Z,Riverside,,5/4/2018
Woodchuck Fire,2018-05-04T18:53:00Z,Riverside,,5/4/2018
Shastina Fire,2018-05-09T18:11:00Z,Siskiyou,,5/9/2018
Jacques Fire,2018-05-09T22:00:00Z,San Diego,,5/9/2018
Volcan Fire,2018-05-10T20:41:00Z,San Diego,,5/10/2018
Grant Fire,2018-05-14T13:06:00Z,Alameda,,5/14/2018
Patterson Fire,2018-05-17T14:19:00Z,Riverside,,5/17/2018
Happy Fire,2018-05-17T12:53:00Z,Santa Barbara,,5/17/2018
White Fire,2018-05-18T11:00:00Z,Tulare,,5/18/2018
Jelly Fire,2018-05-18T16:37:00Z,Tehama,,5/18/2018
Ager Fire,2018-05-19T13:04:00Z,Siskiyou,,5/19/2018
Plaza Fire,2018-05-20T13:07:00Z,Merced,,5/20/2018
Bellagio Fire,2018-05-21T11:56:00Z,Napa,,5/21/2018
Agua Fire,2018-05-22T14:13:00Z,San Diego,,5/22/2018
Experimental Fire,2018-05-23T14:30:00Z,Madera,,5/23/2018
Water Fire,2018-05-24T10:43:00Z,San Luis Obispo,,5/24/2018
Cobble Fire,2018-05-26T14:52:00Z,Fresno,,5/26/2018
Keeler Fire,2018-05-27T17:05:00Z,Santa Clara,,5/27/2018
70th Fire,2018-05-28T07:23:00Z,Riverside,,5/28/2018
Chrome Fire,2018-05-28T17:33:00Z,Glenn,,5/28/2018
Stuhr Fire,2018-05-29T12:58:00Z,Stanislaus,,5/29/2018
Vineyard Fire,2018-05-29T13:11:00Z,San Luis Obispo,,5/29/2018
Grant Fire,2018-05-30T13:21:00Z,Alameda,Wildfire,5/30/2018
Madison FIre,2018-06-01T13:31:00Z,Yolo,,6/1/2018
Open Fire,2018-06-01T15:20:00Z,Glenn,,6/1/2018
Plymire Fire,2018-06-01T16:07:00Z,Tehama,,6/1/2018
Glen Fire,2018-06-02T12:42:00Z,Contra Costa,,6/2/2018
Aliso Fire,2018-06-02T13:07:00Z,Orange,,6/2/2018
Jardin Fire,2018-06-02T15:53:00Z,Riverside,,6/2/2018
Coldwell Fire,2018-06-02T09:55:00Z,Fresno,,6/2/2018
Black Fire,2018-06-03T08:55:00Z,Tehama,,6/3/2018
Grande Fire,2018-06-03T13:38:00Z,Riverside,,6/3/2018
Ethanac Fire,2018-06-03T14:17:00Z,Riverside,,6/3/2018
Fairview Fire,2018-06-03T15:09:00Z,San Benito,,6/3/2018
Resort Fire,2018-06-03T16:11:00Z,San Luis Obispo,,6/3/2018
Martin Fire,2018-06-03T16:14:00Z,Siskiyou,,6/3/2018
Adobe Fire,2018-06-03T16:16:00Z,San Diego,,6/3/2018
Green Fire,2018-06-03T18:23:00Z,San Diego,,6/3/2018
Stone Fire,2018-06-04T12:40:00Z,Los Angeles,,6/4/2018
Meamber Fire,2018-06-04T15:08:00Z,Siskiyou,,6/4/2018
Airline Fire,2018-06-04T17:01:00Z,San Benito,,6/4/2018
Eastern Fire,2018-06-04T17:30:00Z,San Benito,,6/4/2018
ONeals Fire,2018-06-04T17:44:00Z,Madera,,6/4/2018
Panoche Fire,2018-06-04T23:17:00Z,San Benito,,6/4/2018
Pallet Fire,2018-06-05T13:03:00Z,Sonoma,,6/5/2018
Vista Fire,2018-06-05T13:45:00Z,San Diego,,6/5/2018
Recycle Fire,2018-06-06T09:46:00Z,San Diego,,6/6/2018
Bear Fire,2018-06-07T18:04:00Z,Merced,,6/7/2018
Apple Fire,2018-06-09T14:10:00Z,Tehama,,6/9/2018
Chrome Fire,2018-06-09T15:32:00Z,Glenn,,6/9/2018
Mission Fire,2018-06-09T15:30:00Z,Marin,,6/9/2018
South Fire,2018-06-09T14:45:00Z,Los Angeles,,6/9/2018
Sam Fire,2018-06-09T15:31:00Z,Monterey,,6/9/2018
Liberty Fire,2018-06-11T12:16:00Z,San Joaquin,,6/11/2018
Santiago Fire,2018-06-11T17:04:00Z,Orange,,6/11/2018
Lions Fire,2018-06-11T12:00:00Z,Madera,,6/11/2018
Beaver Fire,2018-06-12T15:06:00Z,San Benito,,6/12/2018
Euclid Fire,2018-06-12T14:22:00Z,Riverside,,6/12/2018
Portola Fire ,2018-06-12T14:56:00Z,Los Angeles,,6/12/2018
Vista Fire,2018-06-13T12:38:00Z,San Luis Obispo,,6/13/2018
Spring Fire,2018-06-13T21:06:00Z,Tehama,,6/13/2018
Bridle Fire,2018-06-14T17:02:00Z,Riverside,,6/14/2018
70 Fire,2018-06-14T15:18:00Z,Butte,,6/14/2018
Creston FIre,2018-06-14T17:23:00Z,San Luis Obispo,,6/14/2018
Tumbleweed Fire,2018-06-14T17:45:00Z,Lassen,,6/14/2018
Planada Fire,2018-06-15T10:34:00Z,Merced,,6/15/2018
Raymond Fire,2018-06-15T11:46:00Z,Madera,,6/15/2018
Boyer Fire,2018-06-15T13:37:00Z,Mariposa,,6/15/2018
Oregon Fire,2018-06-16T11:47:00Z,Butte,,6/16/2018
Creek Fire,2018-06-16T14:04:00Z,Lake,,6/16/2018
Willow Fire,2018-06-16T15:10:00Z,Contra Costa,,6/16/2018
China Fire,2018-06-17T13:58:00Z,Amador,,6/17/2018
Upper Colony Fire,2018-06-17T11:44:00Z,,,6/17/2018
Vallecitos Fire,2018-06-17T15:56:00Z,Alameda,,6/17/2018
Dinosaur Fire,2018-06-17T15:09:00Z,Merced,,6/17/2018
Wheeler Fire,2018-06-18T12:30:00Z,Mariposa,,6/18/2018
Iron Fire,2018-06-19T15:19:00Z,Contra Costa,,6/19/2018
Ranchita Fire,2018-06-19T16:06:00Z,Monterey,,6/19/2018
Yankee Fire,2018-06-20T18:22:00Z,San Luis Obispo,,6/20/2018
Creek Fire,2018-06-21T16:45:00Z,San Luis Obispo,Wildfire,6/21/2018
Bascom Fire,2018-06-23T12:54:00Z,Shasta,,6/23/2018
Lane Fire,2018-06-23T11:38:00Z,Tehama,,6/23/2018
Sierra Fire,2018-06-23T13:15:00Z,Tehama,,6/23/2018
Stoll Fire,2018-06-23T12:52:00Z,Tehama,Wildfire,6/23/2018
Pawnee Fire,2018-06-23T17:21:00Z,Lake,Wildfire,6/23/2018
Canyon Fire,2018-06-23T19:39:00Z,Los Angeles,,6/23/2018
Creek Fire,2018-06-24T12:29:00Z,Shasta,,6/24/2018
Flat Fire,2018-06-24T13:54:00Z,Tuolumne,,6/24/2018
Horse Fire,2018-06-24T15:28:00Z,Calaveras,Wildfire,6/24/2018
Romero Fire,2018-06-24T16:11:00Z,Merced,,6/24/2018
San Ardo,2018-06-26T07:11:00Z,Monterey,,6/26/2018
Shippee Fire,2018-06-26T12:56:00Z,Butte,,6/26/2018
Fox Fire,2018-06-26T11:16:00Z,San Luis Obispo,,6/26/2018
Anchor Fire,2018-06-27T12:39:00Z,Fresno,,6/27/2018
Hyatt Fire,2018-06-27T15:09:00Z,Lassen,Wildfire,6/27/2018
Cherry Fire,2018-06-27T19:46:00Z,Siskiyou,,6/27/2018
Flat Fire,2018-06-28T18:01:00Z,Trinity,,6/28/2018
Sheep Fire,2018-06-29T17:53:00Z,Kern,,6/29/2018
Waverly Fire,2018-06-29T15:11:00Z,San Joaquin,Wildfire,6/29/2018
Llano Fire,2018-06-29T11:44:00Z,Butte,,6/29/2018
Grant Fire,2018-06-29T15:46:00Z,Sacramento,,6/29/2018
Valley Fire,2018-06-29T16:06:00Z,Contra Costa,,6/29/2018
Tesla Fire,2018-06-29T20:59:00Z,Santa Clara,,6/29/2018
Creek Fire,2018-06-30T12:12:00Z,San Bernardino,,6/30/2018
County Fire,2018-06-30T14:12:00Z,"Napa, Yolo",Wildfire,6/30/2018
Petersburg Fire,2018-07-01T18:13:00Z,Siskiyou,,7/1/2018
Buckingham Fire,2018-07-02T14:25:00Z,Contra Costa,,7/2/2018
Stony Fire,2018-07-04T13:14:00Z,Colusa,,7/4/2018
Par Fire,2018-07-04T13:30:00Z,Butte,,7/4/2018
Benton Fire,2018-07-04T14:20:00Z,Riverside,,7/4/2018
Shingle Fire,2018-07-04T17:09:00Z,El Dorado,,7/4/2018
Peach Fire ,2018-07-05T15:12:00Z,Mendocino,,7/5/2018
Klamathon Fire,2018-07-05T12:31:00Z,Siskiyou,Wildfire,7/5/2018
West Fire,2018-07-06T23:39:00Z,San Diego,Wildfire,7/6/2018
Building Fire,2018-07-06T10:11:00Z,San Diego,,7/6/2018
Irish Fire,2018-07-06T14:42:00Z,Amador,Wildfire,7/6/2018
Valley Fire,2018-07-06T13:29:00Z,San Bernardino,,7/6/2018
Holiday Fire,2018-07-06T20:40:00Z,Santa Barbara,Wildfire,7/6/2018
Bridle Fire,2018-07-06T10:40:00Z,Santa Clara,,7/6/2018
Box Fire,2018-07-06T09:36:00Z,San Bernardino,,7/6/2018
Lebec Fire,2018-07-08T13:38:00Z,Kern,,7/8/2018
Georges Fire,2018-07-08T13:36:00Z,Inyo,,7/8/2018
Vista Fire,2018-07-08T14:41:00Z,Shasta,,7/8/2018
Bruce Fire,2018-07-08T16:45:00Z,Contra Costa,,7/8/2018
Grant Fire,2018-07-08T17:38:00Z,Alameda,,7/8/2018
James Loop Fire,2018-07-09T12:53:00Z,,,7/9/2018
Cornerstone Fire,2018-07-09T17:54:00Z,Madera,,7/9/2018
Spring 2 Fire,2018-07-09T16:46:00Z,Lake,Wildfire,7/9/2018
Dale Fire,2018-07-09T18:30:00Z,Tehama,,7/9/2018
School Fire,2018-07-10T17:31:00Z,Madera,,7/10/2018
Dark Fire,2018-07-10T12:42:00Z,Butte,,7/10/2018
Curie Fire,2018-07-10T15:08:00Z,Santa Clara,,7/10/2018
Hale Fire,2018-07-10T16:45:00Z,Santa Clara,,7/10/2018
Panoche Fire,2018-07-11T16:40:00Z,San Benito,,7/11/2018
Stoney Fire,2018-07-12T22:45:00Z,Butte,,7/12/2018
Idria Fire,2018-07-12T12:57:00Z,San Benito,,7/12/2018
Eagle Fire,2018-07-13T22:03:00Z,Modoc,,7/13/2018
Gray Fire,2018-07-13T14:32:00Z,San Bernardino,,7/13/2018
Ferguson Fire,2018-07-13T21:36:00Z,Mariposa,,7/13/2018
Lariat Fire,2018-07-14T20:40:00Z,Tehama,,7/14/2018
Kelley Fire,2018-07-14T20:46:00Z,Modoc,,7/14/2018
3-2 Fire,2018-07-14T15:00:00Z,Lassen,,7/14/2018
Steamboat Fire,2018-07-15T09:58:00Z,Siskiyou,,7/15/2018
3-10 Fire,2018-07-15T11:55:00Z,Lassen,,7/15/2018
Johnson Fire,2018-07-15T16:14:00Z,Humboldt,,7/15/2018
3-18 Fire,2018-07-15T16:45:00Z,Lassen,,7/15/2018
3-16 Fire,2018-07-15T18:54:00Z,Lassen,,7/15/2018
Tuscan Fire,2018-07-15T17:15:00Z,Tehama,,7/15/2018
Natchez Fire,2018-07-15T18:30:00Z,,,7/15/2018
Camp Fire,2018-07-17T11:13:00Z,San Luis Obispo,,7/17/2018
Border Fire,2018-07-17T14:05:00Z,San Diego,,7/17/2018
Lott Fire,2018-07-17T19:03:00Z,Siskiyou,,7/17/2018
Cruces Fire,2018-07-18T11:55:00Z,Santa Barbara,,7/18/2018
Eighty Eight Fire,2018-07-18T14:24:00Z,Yolo,,7/18/2018
Simmons Fire,2018-07-19T12:00:00Z,Butte,,7/19/2018
Ben Fire,2018-07-19T13:07:00Z,Mariposa,,7/19/2018
Skyline Fire,2018-07-19T17:22:00Z,Riverside,,7/19/2018
Horse Creek Fire,2018-07-19T16:25:00Z,Tulare,,7/19/2018
Cinnamon Fire,2018-07-20T13:07:00Z,San Diego,,7/20/2018
Highland Fire,2018-07-20T13:26:00Z,Shasta,,7/20/2018
Windmill Fire,2018-07-20T14:23:00Z,Santa Barbara,,7/20/2018
Carder Fire,2018-07-21T14:40:00Z,Lake,Wildfire,7/21/2018
Rock Fire,2018-07-21T15:50:00Z,San Luis Obispo,,7/21/2018
Mustang Fire,2018-07-21T15:01:00Z,San Luis Obispo,,7/21/2018
Heart Fire,2018-07-21T16:22:00Z,Mendocino,,7/21/2018
Country Fire,2018-07-22T13:06:00Z,Santa Clara,,7/22/2018
Carr Fire,2018-07-23T13:15:00Z,"Shasta, Trinity",Wildfire,7/23/2018
Pico Fire,2018-07-23T12:55:00Z,Los Angeles,,7/23/2018
Martinez Fire,2018-07-23T14:55:00Z,Riverside,,7/23/2018
Crestline Fire,2018-07-24T15:24:00Z,Shasta,,7/24/2018
Roxie Fire (Formerly 1-1 Fire),2018-07-24T16:02:00Z,Lassen,,7/24/2018
